video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
dzfs4tl5kjo,False,False,False,0,0,0,,Disabled
2bMPK92z5Mw,True,False,False,1,0,1,hi,Available
vYCZ60BYtBY,True,True,False,1,0,1,bn,Available
wCGyrR2Yyyk,False,False,False,0,0,0,,Disabled
77jtedpVH8M,True,False,True,1,0,1,en,Available
ZoFkuDco3HQ,False,False,False,0,0,0,,Disabled
ZzUph3AcyIY,False,False,False,0,0,0,,Disabled
tpGyNNFX6Zs,True,True,False,1,0,1,bn,Available
dKbe2UXPYfE,True,True,False,1,0,1,bn,Available
m7LdXVHq9Nw,True,False,False,1,0,1,hi,Available
UIEyyJvprnw,True,False,False,1,0,1,hi,Available
LBMs45PJFeA,True,False,False,1,0,1,hi,Available
z0Wz-Yylj84,False,False,False,0,0,0,,Disabled
S2InZ4puXww,False,False,False,0,0,0,,Disabled
zforBq1kFxg,False,False,False,0,0,0,,Disabled
Q3I0DHffHvo,False,False,False,0,0,0,,Disabled
ztal_wYKQqs,True,True,False,1,0,1,bn,Available
X1ssUa0KqjQ,False,False,False,0,0,0,,Disabled
jeFATznVtiQ,False,False,False,0,0,0,,Disabled
ohjgwHxg1Jk,True,False,False,1,0,1,hi,Available
U76kvl6VI_8,False,False,False,0,0,0,,Disabled
WpmdNPMp2kk,False,False,False,0,0,0,,Disabled
WjyW5SD31IU,False,False,False,0,0,0,,Disabled
ev-sU0ylJhg,True,True,False,1,0,1,bn,Available
IXh7dgkicWc,False,False,False,0,0,0,,Disabled
LOBsAyuAOF8,True,True,False,1,0,1,bn,Available
0Vqh7tdFS-M,False,False,False,0,0,0,,Disabled
1-nqN7TJ2mo,True,False,False,1,0,1,hi,Available
zcbQr6kCVfg,True,True,False,1,0,1,bn,Available
QiJxBWIm49g,True,True,False,1,0,1,bn,Available
iZNl2ixNvOE,True,True,False,1,0,1,bn,Available
HXGU8G56jT8,False,False,False,0,0,0,,Disabled
-0cgSGY6xfU,False,False,False,0,0,0,,Disabled
alQa501EflA,True,True,False,1,0,1,bn,Available
24CH5uwPCdY,True,True,False,1,0,1,bn,Available
X9gUHYi0Suw,False,False,False,0,0,0,,Disabled
Se147iFUm44,False,False,False,0,0,0,,Disabled
9YXUMbmp8TA,True,False,False,1,0,1,hi,Available
UCiECjMjqQQ,True,False,False,1,0,1,hi,Available
ruE3nzDCRa0,True,False,True,1,0,1,en,Available
SCQCWSBJaQI,True,True,False,1,0,1,bn,Available
PBGKyMk3RuQ,False,False,False,0,0,0,,Disabled
SUdRzupVvd4,False,False,False,0,0,0,,Disabled
KzM1Rpjsd9U,False,False,False,0,0,0,,Disabled
Wjp9QqprYEg,True,False,False,1,0,1,hi,Available
J6hsuvFhIbU,True,False,False,1,0,1,hi,Available
waAxa4gwHxc,True,False,False,1,0,1,hi,Available
IYrpaKks0qQ,False,False,False,0,0,0,,Disabled
coHjahIXWso,False,False,False,0,0,0,,Disabled
kz2jzFW4Rrc,False,False,False,0,0,0,,Disabled
lB8gMJ3xtjE,True,False,False,1,0,1,hi,Available
Vms_Yw4jens,True,False,False,1,0,1,hi,Available
