video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
vYCZ60BYtBY,True,True,False,1,0,1,bn,Available
tpGyNNFX6Zs,True,True,False,1,0,1,bn,Available
dKbe2UXPYfE,True,True,False,1,0,1,bn,Available
ztal_wYKQqs,True,True,False,1,0,1,bn,Available
ev-sU0ylJhg,True,True,False,1,0,1,bn,Available
LOBsAyuAOF8,True,True,False,1,0,1,bn,Available
zcbQr6kCVfg,True,True,False,1,0,1,bn,Available
QiJxBWIm49g,True,True,False,1,0,1,bn,Available
iZNl2ixNvOE,True,True,False,1,0,1,bn,Available
alQa501EflA,True,True,False,1,0,1,bn,Available
24CH5uwPCdY,True,True,False,1,0,1,bn,Available
SCQCWSBJaQI,True,True,False,1,0,1,bn,Available
Vpf3r9sFnr8,True,True,False,1,0,1,bn,Available
cwIQ3BhGBxw,True,True,False,1,0,1,bn,Available
6oosrsfiLJE,True,True,False,1,0,1,bn,Available
mT6aEHPU9-g,True,True,False,1,0,1,bn,Available
9BlUl19a4Qw,True,True,False,1,0,1,bn,Available
iONevl7KV88,True,True,False,1,0,1,bn,Available
4RijGn_908I,True,True,False,1,0,1,bn,Available
zDh3b3Xglxc,True,True,False,1,0,1,bn,Available
0pKwwsE6T8M,True,True,False,1,0,1,bn,Available
UI3L7BAhBck,True,True,False,1,0,1,bn,Available
2A0Csro7Ws8,True,True,False,1,0,1,bn,Available
OpGere8X54k,True,True,False,1,0,1,bn,Available
v4XKBkf4rzE,True,True,False,1,0,1,bn,Available
vgTKCuWcM84,True,True,False,1,0,1,bn,Available
ktqYab82_tM,True,True,False,1,0,1,bn,Available
6QXupezqnfY,True,True,False,1,0,1,bn,Available
ZSjgZ5_e13w,True,True,False,1,0,1,bn,Available
5HDZXcr-oro,True,True,False,1,0,1,bn,Available
HZ2AT8M48ss,True,True,False,1,0,1,bn,Available
m4ttj3sWXBc,True,True,False,1,0,1,bn,Available
CzNineSSiV8,True,True,False,1,0,1,bn,Available
Vj-mnHhQkUY,True,True,False,1,0,1,bn,Available
p_Qb0LD2Pqs,True,True,False,1,0,1,bn,Available
mciEryGvUjg,True,True,False,1,0,1,bn,Available
-_sf2PvTrS8,True,True,False,1,0,1,bn,Available
Yj0nmOoLXTY,True,True,False,1,0,1,bn,Available
Y4i5ehumFQY,True,True,False,1,0,1,bn,Available
Ada8BhAvd0I,True,True,False,1,0,1,bn,Available
d-4kCXNUuo8,True,True,False,1,0,1,bn,Available
0IXOvvLt9r0,True,True,False,1,0,1,bn,Available
LOcputTIs7I,True,True,False,1,0,1,bn,Available
ncFs3NDG4yA,True,True,False,1,0,1,bn,Available
7_6BbyZOQtw,True,True,False,1,0,1,bn,Available
bIVnRY6rKqs,True,True,False,1,0,1,bn,Available
osI5KfD7fNU,True,True,False,1,0,1,bn,Available
luh-WgP7DsI,True,True,False,1,0,1,bn,Available
gVdox6gB1uU,True,True,False,1,0,1,bn,Available
nhN761EMggo,True,True,False,1,0,1,bn,Available
aSxK23c-nLA,True,True,False,1,0,1,bn,Available
VI9s2XGL6zE,True,True,False,1,0,1,bn,Available
NSlGdrblX70,True,True,False,1,0,1,bn,Available
TbQ6m5ov6Vk,True,True,False,1,0,1,bn,Available
r9Z2dkcY0Gs,True,True,False,1,0,1,bn,Available
70xG35USajk,True,True,False,1,0,1,bn,Available
LHonGzutENg,True,True,False,1,0,1,bn,Available
slhp8WPW_aQ,True,True,False,1,0,1,bn,Available
u9maPdcUaDI,True,True,False,1,0,1,bn,Available
honrieP3VYI,True,True,False,1,0,1,bn,Available
OZ3zaOngs_E,True,True,False,1,0,1,bn,Available
PTnwuTdm7pM,True,True,False,1,0,1,bn,Available
