channel_id,video_id,channel_name,duration(sec),domain,link
UCrOUqyU99P-HZOS6bSCd96g,B5hbaTGbyUk,AudioKothon with RAJIA,3088,Audio-book,https://www.youtube.com/watch?v=B5hbaTGbyUk
UCrOUqyU99P-HZOS6bSCd96g,e6T3a4tEvB8,AudioKothon with RAJIA,3153,Audio-book,https://www.youtube.com/watch?v=e6T3a4tEvB8
UCrOUqyU99P-HZOS6bSCd96g,mG7ByReadRE,AudioKothon with RAJIA,4671,Audio-book,https://www.youtube.com/watch?v=mG7ByReadRE
UCrOUqyU99P-HZOS6bSCd96g,U210Vg7ikiA,AudioKothon with RAJIA,3210,Audio-book,https://www.youtube.com/watch?v=U210Vg7ikiA
UCrOUqyU99P-HZOS6bSCd96g,IKeUBaHFX9k,AudioKothon with RAJIA,4088,Audio-book,https://www.youtube.com/watch?v=IKeUBaHFX9k
UCrOUqyU99P-HZOS6bSCd96g,lM7CXSyknEI,AudioKothon with RAJIA,3001,Audio-book,https://www.youtube.com/watch?v=lM7CXSyknEI
UCrOUqyU99P-HZOS6bSCd96g,dTc8PKo0MZY,AudioKothon with RAJIA,3170,Audio-book,https://www.youtube.com/watch?v=dTc8PKo0MZY
UCrOUqyU99P-HZOS6bSCd96g,g7mH0bqlFms,AudioKothon with RAJIA,3777,Audio-book,https://www.youtube.com/watch?v=g7mH0bqlFms
UCrOUqyU99P-HZOS6bSCd96g,I1zFxRTNdhU,AudioKothon with RAJIA,4509,Audio-book,https://www.youtube.com/watch?v=I1zFxRTNdhU
UCrOUqyU99P-HZOS6bSCd96g,NczfOOsYl48,AudioKothon with RAJIA,3202,Audio-book,https://www.youtube.com/watch?v=NczfOOsYl48
UCrOUqyU99P-HZOS6bSCd96g,QP9Yw_jjOGQ,AudioKothon with RAJIA,2604,Audio-book,https://www.youtube.com/watch?v=QP9Yw_jjOGQ
UCrOUqyU99P-HZOS6bSCd96g,kD64SxX3UhA,AudioKothon with RAJIA,2738,Audio-book,https://www.youtube.com/watch?v=kD64SxX3UhA
UCrOUqyU99P-HZOS6bSCd96g,eWsaNxD4R7s,AudioKothon with RAJIA,3431,Audio-book,https://www.youtube.com/watch?v=eWsaNxD4R7s
UCrOUqyU99P-HZOS6bSCd96g,z5khvHT6reI,AudioKothon with RAJIA,4105,Audio-book,https://www.youtube.com/watch?v=z5khvHT6reI
UCrOUqyU99P-HZOS6bSCd96g,jzS_2zItbAI,AudioKothon with RAJIA,2906,Audio-book,https://www.youtube.com/watch?v=jzS_2zItbAI
