channel_id,video_id,channel_name,duration(sec),domain,link
UCAx_EDlVRmRmo-MsmZi942A,dzfs4tl5kjo,Bangla AudioBook,2549,Audio-book,https://www.youtube.com/watch?v=dzfs4tl5kjo
UCAx_EDlVRmRmo-MsmZi942A,2bMPK92z5Mw,Bangla AudioBook,1751,Audio-book,https://www.youtube.com/watch?v=2bMPK92z5Mw
UCAx_EDlVRmRmo-MsmZi942A,vYCZ60BYtBY,Bangla AudioBook,1296,Audio-book,https://www.youtube.com/watch?v=vYCZ60BYtBY
UCAx_EDlVRmRmo-MsmZi942A,wCGyrR2Yyyk,Bangla AudioBook,1582,Audio-book,https://www.youtube.com/watch?v=wCGyrR2Yyyk
UCAx_EDlVRmRmo-MsmZi942A,77jtedpVH8M,Bangla AudioBook,1543,Audio-book,https://www.youtube.com/watch?v=77jtedpVH8M
UCAx_EDlVRmRmo-MsmZi942A,ZoFkuDco3HQ,Bangla AudioBook,1323,Audio-book,https://www.youtube.com/watch?v=ZoFkuDco3HQ
UCAx_EDlVRmRmo-MsmZi942A,ZzUph3AcyIY,Bangla AudioBook,1470,Audio-book,https://www.youtube.com/watch?v=ZzUph3AcyIY
UCAx_EDlVRmRmo-MsmZi942A,tpGyNNFX6Zs,Bangla AudioBook,1250,Audio-book,https://www.youtube.com/watch?v=tpGyNNFX6Zs
UCAx_EDlVRmRmo-MsmZi942A,dKbe2UXPYfE,Bangla AudioBook,1943,Audio-book,https://www.youtube.com/watch?v=dKbe2UXPYfE
UCqknG5l7mcW5y_6VR9V2Vig,m7LdXVHq9Nw,Audio Book Bangla,1592,Audio-book,https://www.youtube.com/watch?v=m7LdXVHq9Nw
UCqknG5l7mcW5y_6VR9V2Vig,UIEyyJvprnw,Audio Book Bangla,1618,Audio-book,https://www.youtube.com/watch?v=UIEyyJvprnw
UCJJYxWhu77PG_o7nbU_2tXQ,LBMs45PJFeA,Audio Book Bangla by Faheem,2569,Audio-book,https://www.youtube.com/watch?v=LBMs45PJFeA
UCJJYxWhu77PG_o7nbU_2tXQ,z0Wz-Yylj84,Audio Book Bangla by Faheem,2806,Audio-book,https://www.youtube.com/watch?v=z0Wz-Yylj84
UCJJYxWhu77PG_o7nbU_2tXQ,S2InZ4puXww,Audio Book Bangla by Faheem,1982,Audio-book,https://www.youtube.com/watch?v=S2InZ4puXww
