video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
Pyfp8OKgkBc,True,True,False,1,0,1,bn,Available
EMgA3TJ7bBA,True,False,True,1,0,1,en,Available
r7_cEA_PS9g,True,True,False,1,0,1,bn,Available
-trtD5p4md0,True,False,True,1,0,1,en,Available
8u-RF-GW99w,True,False,True,1,0,1,en,Available
gOmGswC91lg,True,True,False,1,0,1,bn,Available
P043Ulwb_6k,True,False,True,1,0,1,en,Available
glPPIE_2pYY,True,False,True,1,0,1,en,Available
AjUbII4MoJk,False,False,False,0,0,0,,Disabled
PFQP-GJrMpc,True,True,False,1,0,1,bn,Available
gFlutwr0DuE,True,True,False,1,0,1,bn,Available
ZH6K-IGHgfQ,True,False,True,1,0,1,en,Available
lkjmI0ag3o8,True,True,False,1,0,1,bn,Available
1OsJHzUB8O4,True,True,False,1,0,1,bn,Available
i3t8mVDnK0U,True,True,False,1,0,1,bn,Available
oUSmjrBi3Dc,True,False,True,1,0,1,en,Available
N-iITJeFtGQ,True,False,True,1,0,1,en,Available
Ot-f49RB5x0,True,False,True,1,0,1,en,Available
FVbRh7I977Y,True,False,True,1,0,1,en,Available
tFOpRApo-sU,True,False,True,1,0,1,en,Available
NAruHv8Wf3k,True,False,True,1,0,1,en,Available
0eZJS7D0dzY,True,False,True,1,0,1,en,Available
25-URSRs5r0,True,False,False,1,0,1,hi,Available
WeBhNYEAgaQ,True,True,False,1,0,1,bn,Available
s_oQ--9d-Ks,True,True,False,1,0,1,bn,Available
TeT_8JD7Jf4,True,False,False,1,0,1,hi,Available
xHq0O0cFTgc,True,True,False,1,0,1,bn,Available
X2Yy86df3vw,True,False,True,1,0,1,en,Available
Gu6BP5pihDc,False,False,False,0,0,0,,Disabled
8bGI9dZ1mzs,True,True,False,1,0,1,bn,Available
Rmqu-kEZ288,True,True,False,1,0,1,bn,Available
JasHGMSjsOQ,True,True,False,1,0,1,bn,Available
ewmHaKrFNrM,True,True,False,1,0,1,bn,Available
4Hj9NV09TVc,True,True,False,1,0,1,bn,Available
l_n0PUdOXg0,True,True,False,1,0,1,bn,Available
JoSJ9If0jhs,True,True,False,1,0,1,bn,Available
n7Jc-V45jo0,True,True,False,1,0,1,bn,Available
qYZRhviWDc8,False,False,False,0,0,0,,Blocked
n21Q5XK-P5k,True,False,True,1,0,1,en,Available
-lcMfhA0ArE,True,True,False,1,0,1,bn,Available
wkq_vbDZIBg,True,True,False,1,0,1,bn,Available
shb1tjPShJs,True,True,False,1,0,1,bn,Available
_LmA42H0b0M,True,True,False,1,0,1,bn,Available
BbrvxbscaGk,True,True,False,1,0,1,bn,Available
_zPOiRYCj4A,True,False,False,1,0,1,hi,Available
GALbyJ5keaU,True,True,False,1,0,1,bn,Available
F2xb7FjyK3M,True,True,False,1,0,1,bn,Available
HGR4RFJkAMk,True,False,False,1,0,1,hi,Available
SfKYsDNHHq8,True,True,False,1,0,1,bn,Available
uJnzYPgL8zY,True,True,False,1,0,1,bn,Available
DCKBYiKs62s,True,True,False,1,0,1,bn,Available
zm5v9BRKWwg,True,True,False,1,0,1,bn,Available
xEMsl_vluYo,True,False,False,1,0,1,hi,Available
yvzFOnbmiSc,True,True,False,1,0,1,bn,Available
9O-NeTv4XxE,True,True,False,1,0,1,bn,Available
N9bOVW1FpSY,True,False,True,1,0,1,en,Available
ziNSER0j0lU,True,True,False,1,0,1,bn,Available
fnT70Bu5Sc0,True,True,False,1,0,1,bn,Available
6m6u3eC7QJk,True,False,True,1,0,1,en,Available
Re7zBF6gFRM,True,False,True,1,0,1,en,Available
7MNj5b0LwdU,False,False,False,0,0,0,,Disabled
t4-sS0q-qGk,True,False,True,1,0,1,en,Available
PijU7UXcJU4,True,True,False,1,0,1,bn,Available
dgZOtPHuyaQ,True,True,False,1,0,1,bn,Available
DqZKWkxaFd0,True,True,False,1,0,1,bn,Available
qYtQWVGwCcQ,True,True,False,1,0,1,bn,Available
QlBzMT4754Y,True,True,False,1,0,1,bn,Available
dAwMzcFT0s8,True,True,False,1,0,1,bn,Available
X0Y1Ql09CXY,True,True,False,1,0,1,bn,Available
bauZ8mRVeT4,True,True,False,1,0,1,bn,Available
be1Sz_G7KXU,True,True,False,1,0,1,bn,Available
b10OiAIYze0,True,True,False,1,0,1,bn,Available
AzD83pTd38E,True,True,False,1,0,1,bn,Available
JpZybVPjUAk,True,True,False,1,0,1,bn,Available
Z_ZVoDtqNqI,True,True,False,1,0,1,bn,Available
1WIgCeqIUfw,True,True,False,1,0,1,bn,Available
YjDt6mpVm_E,True,True,False,1,0,1,bn,Available
eJGsPuMMiuM,True,True,False,1,0,1,bn,Available
Xy0XB8te5z8,True,True,False,1,0,1,bn,Available
7yjbPSJ6pZI,True,True,False,1,0,1,bn,Available
7w360-1nmkU,False,False,False,0,0,0,,Disabled
RkVQcW9sKnA,False,False,False,0,0,0,,Disabled
p-a37nHzsRQ,True,True,True,2,1,1,"en,bn",Available
MObloyjatF0,True,True,False,1,1,0,bn,Available
0j3stvTDvjo,True,True,True,2,1,1,"bn,en",Available
qfYhgsMs7K8,False,False,False,0,0,0,,Disabled
8jtsUxg5TOI,True,True,False,1,1,0,bn,Available
BJY9oviF4uQ,True,True,True,2,1,1,"en,bn",Available
eEUygSvsc2M,True,True,False,1,0,1,bn,Available
UDNxIW_mbBU,False,False,False,0,0,0,,Disabled
KBlDv-QGKuU,False,False,False,0,0,0,,Disabled
3PoFuLu6gfU,True,True,False,1,0,1,bn,Available
oGL7L7hanmM,True,True,False,1,0,1,bn,Available
nVVHBPMHCm4,True,True,False,1,0,1,bn,Available
NR-O-p_Gi5Q,True,True,False,1,0,1,bn,Available
Oi2FgjrTCo0,True,False,False,1,0,1,hi,Available
4ZPiCmw2RfA,True,False,False,1,0,1,hi,Available
dPbQrjqClWE,True,False,True,1,0,1,en,Available
hXtSOZnkDmM,True,False,False,1,0,1,hi,Available
JUm8XIfHbJo,True,False,False,1,0,1,hi,Available
