video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
7Pgjn6kyvUc,False,False,False,0,0,0,,Disabled
10RK0pHxalc,False,False,False,0,0,0,,Disabled
4OCfVFhDRyw,False,False,False,0,0,0,,Disabled
jXZKvKl0ZYI,False,False,False,0,0,0,,Disabled
9D1W5CaD33U,False,False,False,0,0,0,,Disabled
k6y_LeYjxaU,False,False,False,0,0,0,,Disabled
dC2bObsUbDo,False,False,False,0,0,0,,Disabled
J0JRRPHChb8,False,False,False,0,0,0,,Disabled
hzUL_obDUFY,False,False,False,0,0,0,,Disabled
s5R83v7j6P8,False,False,False,0,0,0,,Disabled
qrCofHvJD2A,False,False,False,0,0,0,,Disabled
bHpXFX1uink,False,False,False,0,0,0,,Disabled
UuXGOQHtO7Y,False,False,False,0,0,0,,Disabled
CNFS2-u8Ecs,False,False,False,0,0,0,,Disabled
5atma9aag2Q,False,False,False,0,0,0,,Disabled
BcHiICeHnqs,False,False,False,0,0,0,,Disabled
-xpGxcEBhLA,False,False,False,0,0,0,,Disabled
9DU0r3A25H0,False,False,False,0,0,0,,Disabled
7FGagsSO8hI,False,False,False,0,0,0,,Disabled
APoFmynEolE,False,False,False,0,0,0,,Disabled
-EjfKkDHEuQ,False,False,False,0,0,0,,Disabled
CBmY_MJXirQ,False,False,False,0,0,0,,Disabled
zJXy5aFMPYI,False,False,False,0,0,0,,Disabled
FK-JySiynwc,False,False,False,0,0,0,,Disabled
2UuKpkT2p0E,False,False,False,0,0,0,,Disabled
z3DDSt71hag,False,False,False,0,0,0,,Disabled
UTKPpHIKL7s,False,False,False,0,0,0,,Disabled
SfP9GdqreA8,False,False,False,0,0,0,,Disabled
bh-5GxZJ2tw,False,False,False,0,0,0,,Disabled
pXgjTYevgNA,False,False,False,0,0,0,,Disabled
Ht1d5OYMO2I,False,False,False,0,0,0,,Disabled
S6v629AkyzA,False,False,False,0,0,0,,Disabled
gum3bfLNGw4,False,False,False,0,0,0,,Disabled
gEtPUyjblSk,False,False,False,0,0,0,,Disabled
Un8rnl9-_zk,False,False,False,0,0,0,,Disabled
m65T7XIPN0w,False,False,False,0,0,0,,Disabled
kCQkXudJqOs,False,False,False,0,0,0,,Disabled
FllzYKZc9Ow,False,False,False,0,0,0,,Disabled
JCLCJ3rj4Z8,False,False,False,0,0,0,,Disabled
LYcnp86-ZQs,False,False,False,0,0,0,,Disabled
gtRvU00dNkQ,False,False,False,0,0,0,,Disabled
FWtwWmRaUYc,False,False,False,0,0,0,,Disabled
OXlcmyNvgeA,False,False,False,0,0,0,,Disabled
PIIE51Tlp54,False,False,False,0,0,0,,Disabled
pLNgjNqFerg,False,False,False,0,0,0,,Disabled
vheAjEaUbHU,False,False,False,0,0,0,,Disabled
jxbpvP-0sCw,False,False,False,0,0,0,,Disabled
E1xMQMMBrzQ,False,False,False,0,0,0,,Disabled
Hsw1-yYH9wo,False,False,False,0,0,0,,Disabled
8zvhH1tNG2s,False,False,False,0,0,0,,Disabled
nLp2a_GFcOM,False,False,False,0,0,0,,Disabled
4sTsNXf6o2w,False,False,False,0,0,0,,Disabled
_miwDc0WJVo,False,False,False,0,0,0,,Disabled
t1WFbaoD3PI,False,False,False,0,0,0,,Disabled
oH7CO4AnfWg,False,False,False,0,0,0,,Disabled
x2GXbKVRQuE,False,False,False,0,0,0,,Disabled
50hoijiWcFs,False,False,False,0,0,0,,Disabled
1Br-ZYDUGPU,False,False,False,0,0,0,,Disabled
9-o4x7V-WGU,False,False,False,0,0,0,,Disabled
2RWFONlE3Cc,False,False,False,0,0,0,,Disabled
TPj-wmowSQE,False,False,False,0,0,0,,Disabled
CG8b4yqXAao,False,False,False,0,0,0,,Error
f1PV-ZJbLwc,False,False,False,0,0,0,,Disabled
Ljp6LNbgEQ4,False,False,False,0,0,0,,Disabled
MZw3ZPEfqqU,False,False,False,0,0,0,,Disabled
rYyaC6TSGLQ,False,False,False,0,0,0,,Disabled
sMxa10Qkt9A,False,False,False,0,0,0,,Disabled
JMCz9svN454,False,False,False,0,0,0,,Disabled
78jfoEFw-hk,False,False,False,0,0,0,,Disabled
77Be4aNl-e4,False,False,False,0,0,0,,Disabled
B5CDmMENY94,False,False,False,0,0,0,,Disabled
jjocixakglk,False,False,False,0,0,0,,Disabled
yV7tsGtzWoU,False,False,False,0,0,0,,Disabled
Mtz9gnvXh78,False,False,False,0,0,0,,Disabled
76DzNdlhWlQ,False,False,False,0,0,0,,Error
2R1mLVAT7Jk,False,False,False,0,0,0,,Error
-lyTuDHbSQ4,False,False,False,0,0,0,,Disabled
1aeID6ux6sA,False,False,False,0,0,0,,Disabled
6kzdhtglrRY,False,False,False,0,0,0,,Disabled
_8IAyq_Uv_A,False,False,False,0,0,0,,Disabled
qRKVYIyp4Hg,False,False,False,0,0,0,,Disabled
2n-JBBTBCrA,False,False,False,0,0,0,,Blocked
1hg2ROVaHLE,False,False,False,0,0,0,,Disabled
9Ug60JV1ZuQ,False,False,False,0,0,0,,Disabled
OKrx0Mym720,False,False,False,0,0,0,,Disabled
MyfLzXMLkvU,False,False,False,0,0,0,,Disabled
s9ggtPJeTq4,False,False,False,0,0,0,,Disabled
X_BY--oNSxg,False,False,False,0,0,0,,Blocked
PVIun0FrPJY,False,False,False,0,0,0,,Disabled
t-5-jWaJN6M,False,False,False,0,0,0,,Disabled
wUch1zzp0wo,False,False,False,0,0,0,,Disabled
nqQ9YreMWg4,False,False,False,0,0,0,,Disabled
J5fT_G8WXNY,False,False,False,0,0,0,,Disabled
PM9I3kRyQ8M,False,False,False,0,0,0,,Disabled
7SSjQRGss-o,False,False,False,0,0,0,,Disabled
FCN8M4_4Tx0,False,False,False,0,0,0,,Disabled
