channel_id,video_id,channel_name,duration(sec),domain,link
UCA4y9g_GRdNrZLH_u5LLSdw,1yu7-f5lO8w,BanglaVision NEWS,2693,Talk-show,https://www.youtube.com/watch?v=1yu7-f5lO8w
UC2HXZuHFLddZib4gDl1m6cA,cNxFSGkc_A4,Star News,2977,Talk-show,https://www.youtube.com/watch?v=cNxFSGkc_A4
UC5csuMwNPRsU9AWOSr94wmg,D6aj8f5YNnc,ETV Talk Show,2675,Talk-show,https://www.youtube.com/watch?v=D6aj8f5YNnc
UCA4y9g_GRdNrZLH_u5LLSdw,oDRNoGJdphE,BanglaVision NEWS,1954,Talk-show,https://www.youtube.com/watch?v=oDRNoGJdphE
UCVXJp9pl2leF5GtkLZlCA3g,BQCtepBaUtQ,রাজনীতির কথা,1450,Talk-show,https://www.youtube.com/watch?v=BQCtepBaUtQ
UC6ste91HnrLSpgNIoQ12IjQ,k5fIH_Qj_aE,Channel S,1599,Talk-show,https://www.youtube.com/watch?v=k5fIH_Qj_aE
UCjIi0uZg4h5Ar8gvLDTrGwA,JGbS-q28TXU,GTV News,3395,Talk-show,https://www.youtube.com/watch?v=JGbS-q28TXU
UCHLqIOMPk20w-6cFgkA90jw,m4BzbRPqGgQ,Channel 24,2378,Talk-show,https://www.youtube.com/watch?v=m4BzbRPqGgQ
UCxz4LTPmZstaePhUYM70ApA,eHkQZ8xkGZM,TalkPointBD,4822,Talk-show,https://www.youtube.com/watch?v=eHkQZ8xkGZM
UCxHoBXkY88Tb8z1Ssj6CWsQ,wsU10Hkb3WY,SOMOY TV,1991,Talk-show,https://www.youtube.com/watch?v=wsU10Hkb3WY
UC2HXZuHFLddZib4gDl1m6cA,zS5CIJdIZSw,Star News,3146,Talk-show,https://www.youtube.com/watch?v=zS5CIJdIZSw
UCA4y9g_GRdNrZLH_u5LLSdw,9Sh4Pl3IbBA,BanglaVision NEWS,2883,Talk-show,https://www.youtube.com/watch?v=9Sh4Pl3IbBA
UCsBqX8QguRdkawdlNbIL1dw,2ickqUnbyGs,Kaler Kantho,3662,Talk-show,https://www.youtube.com/watch?v=2ickqUnbyGs
UCsBqX8QguRdkawdlNbIL1dw,3fERBgeweB8,Kaler Kantho,3408,Talk-show,https://www.youtube.com/watch?v=3fERBgeweB8
UCjIi0uZg4h5Ar8gvLDTrGwA,K1ViiiUGA78,GTV News,3356,Talk-show,https://www.youtube.com/watch?v=K1ViiiUGA78
UCA4y9g_GRdNrZLH_u5LLSdw,l42rLsmYxiU,BanglaVision NEWS,4403,Talk-show,https://www.youtube.com/watch?v=l42rLsmYxiU
UCA4y9g_GRdNrZLH_u5LLSdw,MjYpWHMHVDI,BanglaVision NEWS,3622,Talk-show,https://www.youtube.com/watch?v=MjYpWHMHVDI
UCjIi0uZg4h5Ar8gvLDTrGwA,WvauvwvVHPw,GTV News,3639,Talk-show,https://www.youtube.com/watch?v=WvauvwvVHPw
UCA4y9g_GRdNrZLH_u5LLSdw,HTbgmPiz9RI,BanglaVision NEWS,3051,Talk-show,https://www.youtube.com/watch?v=HTbgmPiz9RI
UC6ste91HnrLSpgNIoQ12IjQ,io26qEaI0G0,Channel S,2010,Talk-show,https://www.youtube.com/watch?v=io26qEaI0G0
UCA4y9g_GRdNrZLH_u5LLSdw,_p-KDLY305s,BanglaVision NEWS,2577,Talk-show,https://www.youtube.com/watch?v=_p-KDLY305s
UCmCCTsDl-eCKw91shC7ZmMw,--WUGjyGegg,Desh TV News,2039,Talk-show,https://www.youtube.com/watch?v=--WUGjyGegg
UCjIi0uZg4h5Ar8gvLDTrGwA,x8bo7hXE1fU,GTV News,4344,Talk-show,https://www.youtube.com/watch?v=x8bo7hXE1fU
UCA4y9g_GRdNrZLH_u5LLSdw,hp9ifuFWBbo,BanglaVision NEWS,3063,Talk-show,https://www.youtube.com/watch?v=hp9ifuFWBbo
UCUDQdVsKssximyFwg4IxnOQ,7pR6g8SgvR0,NTV News,3391,Talk-show,https://www.youtube.com/watch?v=7pR6g8SgvR0
UCsBqX8QguRdkawdlNbIL1dw,gDL3vtFtqiU,Kaler Kantho,4969,Talk-show,https://www.youtube.com/watch?v=gDL3vtFtqiU
UCA4y9g_GRdNrZLH_u5LLSdw,0nenw3hVyvQ,BanglaVision NEWS,2867,Talk-show,https://www.youtube.com/watch?v=0nenw3hVyvQ
UCjIi0uZg4h5Ar8gvLDTrGwA,rF5pLKkgQmI,GTV News,3565,Talk-show,https://www.youtube.com/watch?v=rF5pLKkgQmI
UCN6sm8iHiPd0cnoUardDAnw,pFOyx8rnF9E,Jamuna TV,3040,Talk-show,https://www.youtube.com/watch?v=pFOyx8rnF9E
UC6ste91HnrLSpgNIoQ12IjQ,Z1C4CYivyvg,Channel S,2219,Talk-show,https://www.youtube.com/watch?v=Z1C4CYivyvg
UCjIi0uZg4h5Ar8gvLDTrGwA,Wudd3j_mUtY,GTV News,5070,Talk-show,https://www.youtube.com/watch?v=Wudd3j_mUtY
UCxHoBXkY88Tb8z1Ssj6CWsQ,5l-X6Q10b_k,SOMOY TV,1746,Talk-show,https://www.youtube.com/watch?v=5l-X6Q10b_k
UC6ste91HnrLSpgNIoQ12IjQ,cApPN9r8hxM,Channel S,2356,Talk-show,https://www.youtube.com/watch?v=cApPN9r8hxM
UC6ste91HnrLSpgNIoQ12IjQ,pNrZIuOQvhs,Channel S,2024,Talk-show,https://www.youtube.com/watch?v=pNrZIuOQvhs
UCA4y9g_GRdNrZLH_u5LLSdw,0nXk7TfN8W4,BanglaVision NEWS,3150,Talk-show,https://www.youtube.com/watch?v=0nXk7TfN8W4
UCC1uyKhkUdRDt4FD42jICOg,XITzLH4iiig,Zamona TV News,1234,Talk-show,https://www.youtube.com/watch?v=XITzLH4iiig
UClGbJpMriOVQd0eLdJJoUDQ,bP87AvBoOPs,ATN Bangla Talk Show,3218,Talk-show,https://www.youtube.com/watch?v=bP87AvBoOPs
UC2HXZuHFLddZib4gDl1m6cA,iWDBKWArkg0,Star News,3056,Talk-show,https://www.youtube.com/watch?v=iWDBKWArkg0
UCjIi0uZg4h5Ar8gvLDTrGwA,tvTz0MHfGCE,GTV News,3507,Talk-show,https://www.youtube.com/watch?v=tvTz0MHfGCE
UCA4y9g_GRdNrZLH_u5LLSdw,0zUHraEbocs,BanglaVision NEWS,4223,Talk-show,https://www.youtube.com/watch?v=0zUHraEbocs
UCxHoBXkY88Tb8z1Ssj6CWsQ,1mXgHGxVnjA,SOMOY TV,1853,Talk-show,https://www.youtube.com/watch?v=1mXgHGxVnjA
UC7jpE518qnp_ZlQWRWO8DHw,WtoT0xgG2NA,Update Politics Show ,1357,Talk-show,https://www.youtube.com/watch?v=WtoT0xgG2NA
UCjIi0uZg4h5Ar8gvLDTrGwA,7udM85-3thQ,GTV News,5150,Talk-show,https://www.youtube.com/watch?v=7udM85-3thQ
UC6ste91HnrLSpgNIoQ12IjQ,0SEKuCZeciM,Channel S,1712,Talk-show,https://www.youtube.com/watch?v=0SEKuCZeciM
UCA4y9g_GRdNrZLH_u5LLSdw,CKG6lY7L60E,BanglaVision NEWS,4391,Talk-show,https://www.youtube.com/watch?v=CKG6lY7L60E
UC6ste91HnrLSpgNIoQ12IjQ,6w6wx0SHcQE,Channel S,2364,Talk-show,https://www.youtube.com/watch?v=6w6wx0SHcQE
UCA4y9g_GRdNrZLH_u5LLSdw,0YZ3oP6Nboo,BanglaVision NEWS,3281,Talk-show,https://www.youtube.com/watch?v=0YZ3oP6Nboo
UCeG7m5-AJ4I0H4EIleIty4Q,ohIzALefyA0,Prothom Alo,1890,Talk-show,https://www.youtube.com/watch?v=ohIzALefyA0
UCmCCTsDl-eCKw91shC7ZmMw,UltvwmdxL08,Desh TV News,1627,Talk-show,https://www.youtube.com/watch?v=UltvwmdxL08
UCmCCTsDl-eCKw91shC7ZmMw,lHAzjjsEbq8,Desh TV News,1605,Talk-show,https://www.youtube.com/watch?v=lHAzjjsEbq8
UCxHoBXkY88Tb8z1Ssj6CWsQ,lj8dETBfRkI,SOMOY TV,1860,Talk-show,https://www.youtube.com/watch?v=lj8dETBfRkI
UCA4y9g_GRdNrZLH_u5LLSdw,c-xHZLidMFE,BanglaVision NEWS,3996,Talk-show,https://www.youtube.com/watch?v=c-xHZLidMFE
UCjIi0uZg4h5Ar8gvLDTrGwA,0EljF8gPLOo,GTV News,3496,Talk-show,https://www.youtube.com/watch?v=0EljF8gPLOo
UCA4y9g_GRdNrZLH_u5LLSdw,QUx6rXKZCxA,BanglaVision NEWS,3219,Talk-show,https://www.youtube.com/watch?v=QUx6rXKZCxA
UCsfDZ7ylDstLkhRALjxAEbA,DAxoW30omu0,Talk Show Barta,1252,Talk-show,https://www.youtube.com/watch?v=DAxoW30omu0
UC2HXZuHFLddZib4gDl1m6cA,IcW5C8Ntxfc,Star News,3303,Talk-show,https://www.youtube.com/watch?v=IcW5C8Ntxfc
UCmCCTsDl-eCKw91shC7ZmMw,ZaJSu8AuZXA,Desh TV News,2248,Talk-show,https://www.youtube.com/watch?v=ZaJSu8AuZXA
UCeG7m5-AJ4I0H4EIleIty4Q,AZxoSBhpZbU,Prothom Alo,1817,Talk-show,https://www.youtube.com/watch?v=AZxoSBhpZbU
UCA4y9g_GRdNrZLH_u5LLSdw,StuzOXX7k5E,BanglaVision NEWS,3101,Talk-show,https://www.youtube.com/watch?v=StuzOXX7k5E
UCA4y9g_GRdNrZLH_u5LLSdw,m329y5nEJ-o,BanglaVision NEWS,4419,Talk-show,https://www.youtube.com/watch?v=m329y5nEJ-o
UCA4y9g_GRdNrZLH_u5LLSdw,AqHf-ajYde8,BanglaVision NEWS,4277,Talk-show,https://www.youtube.com/watch?v=AqHf-ajYde8
UCsBqX8QguRdkawdlNbIL1dw,ktkvef6loFo,Kaler Kantho,4151,Talk-show,https://www.youtube.com/watch?v=ktkvef6loFo
UCjIi0uZg4h5Ar8gvLDTrGwA,6DcRd6L85IM,GTV News,4542,Talk-show,https://www.youtube.com/watch?v=6DcRd6L85IM
UCjIi0uZg4h5Ar8gvLDTrGwA,6qNt7IDTOiI,GTV News,3397,Talk-show,https://www.youtube.com/watch?v=6qNt7IDTOiI
UCZ1_y4N1GvURMgyaRDU6qiw,jZmWO4TKw6c,Live Update বাংলাদেশের রাজনীতি,2943,Talk-show,https://www.youtube.com/watch?v=jZmWO4TKw6c
UCLuPUjbBSIYmltR5D8Srq7A,ntivZKolg9I,Channel i Shows,3141,Talk-show,https://www.youtube.com/watch?v=ntivZKolg9I
UCjIi0uZg4h5Ar8gvLDTrGwA,6SU-ml3ug8s,GTV News,4291,Talk-show,https://www.youtube.com/watch?v=6SU-ml3ug8s
UC6ste91HnrLSpgNIoQ12IjQ,agz8VJyi0Fo,Channel S,2368,Talk-show,https://www.youtube.com/watch?v=agz8VJyi0Fo
UCjIi0uZg4h5Ar8gvLDTrGwA,JxB-IrprvM0,GTV News,4419,Talk-show,https://www.youtube.com/watch?v=JxB-IrprvM0
UCZ1_y4N1GvURMgyaRDU6qiw,FhGwM9QftSU,Live Update বাংলাদেশের রাজনীতি,2670,Talk-show,https://www.youtube.com/watch?v=FhGwM9QftSU
UCxHoBXkY88Tb8z1Ssj6CWsQ,lIJSbHPkjLI,SOMOY TV,2162,Talk-show,https://www.youtube.com/watch?v=lIJSbHPkjLI
UCjIi0uZg4h5Ar8gvLDTrGwA,ONLLwvk1Oe0,GTV News,4123,Talk-show,https://www.youtube.com/watch?v=ONLLwvk1Oe0
UCjar4HMbjkbSu1vN1jtKiyQ,XtuNjyyY7sU,Bangla TV News,3687,Talk-show,https://www.youtube.com/watch?v=XtuNjyyY7sU
UCA4y9g_GRdNrZLH_u5LLSdw,QuoZfe77CY4,BanglaVision NEWS,4504,Talk-show,https://www.youtube.com/watch?v=QuoZfe77CY4
UCjIi0uZg4h5Ar8gvLDTrGwA,pvsAbLhC4ls,GTV News,4395,Talk-show,https://www.youtube.com/watch?v=pvsAbLhC4ls
UCgsp7WfVvh94TiDoPagPkrg,bWsmtcrQtAc,Bangla TV ,3537,Talk-show,https://www.youtube.com/watch?v=bWsmtcrQtAc
UCjIi0uZg4h5Ar8gvLDTrGwA,nZh6_trI1to,GTV News,3464,Talk-show,https://www.youtube.com/watch?v=nZh6_trI1to
UCjIi0uZg4h5Ar8gvLDTrGwA,VDzcfmZ9l2M,GTV News,3984,Talk-show,https://www.youtube.com/watch?v=VDzcfmZ9l2M
UCA4y9g_GRdNrZLH_u5LLSdw,IvsyFistQ44,BanglaVision NEWS,4132,Talk-show,https://www.youtube.com/watch?v=IvsyFistQ44
UCA4y9g_GRdNrZLH_u5LLSdw,psTvKqEWgY0,BanglaVision NEWS,4564,Talk-show,https://www.youtube.com/watch?v=psTvKqEWgY0
UCA4y9g_GRdNrZLH_u5LLSdw,avH9uS7AhbM,BanglaVision NEWS,2466,Talk-show,https://www.youtube.com/watch?v=avH9uS7AhbM
UC6ste91HnrLSpgNIoQ12IjQ,D-Nq97GeTmY,Channel S,1507,Talk-show,https://www.youtube.com/watch?v=D-Nq97GeTmY
UCA4y9g_GRdNrZLH_u5LLSdw,QhUXGjazLx8,BanglaVision NEWS,3044,Talk-show,https://www.youtube.com/watch?v=QhUXGjazLx8
UCA4y9g_GRdNrZLH_u5LLSdw,US3Zzy9mDSM,BanglaVision NEWS,4334,Talk-show,https://www.youtube.com/watch?v=US3Zzy9mDSM
UCNUFterLJ9vpFZZ0try7sLA,E5N2vO5p58c,SOMOY TV Bulletin,1785,Talk-show,https://www.youtube.com/watch?v=E5N2vO5p58c
UCmCCTsDl-eCKw91shC7ZmMw,vyNLUprTqzY,Desh TV News,1875,Talk-show,https://www.youtube.com/watch?v=vyNLUprTqzY
UCWVqdPTigfQ-cSNwG7O9MeA,qnDFTvrbT3k,EKHON TV,2229,Talk-show,https://www.youtube.com/watch?v=qnDFTvrbT3k
UCjIi0uZg4h5Ar8gvLDTrGwA,jmbbtO27bpI,GTV News,3503,Talk-show,https://www.youtube.com/watch?v=jmbbtO27bpI
