video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
FyLYcCMfztI,True,True,False,1,0,1,bn,Available
UEZb79SvQt8,True,True,False,1,0,1,bn,Available
Y6G1Q7Ck480,True,False,True,1,0,1,en,Available
hGFG9nhAS1U,True,True,False,1,0,1,bn,Available
6OXF5WV-kIo,True,True,False,1,0,1,bn,Available
A0kWYDOsVFI,True,False,True,1,0,1,en,Available
4SL15v9o_pM,True,True,False,1,0,1,bn,Available
m-gX3XLkfCc,True,True,False,1,0,1,bn,Available
K7eHX8c-ojA,True,True,False,1,0,1,bn,Available
myfB3kyvPos,True,True,False,1,0,1,bn,Available
q_8RRKyeLwc,True,False,False,1,0,1,hi,Available
AaAI0nM7mg8,True,True,False,1,0,1,bn,Available
PaSJ26cYt8w,True,False,False,1,0,1,hi,Available
BU0YHWbsjZA,True,True,False,1,0,1,bn,Available
7rTbT-_ulY8,True,False,True,1,0,1,en,Available
4bG-Bp0J_SY,True,True,False,1,0,1,bn,Available
ilqZ2HVWdzE,True,True,False,1,0,1,bn,Available
Bc2fH3I9Q1Y,True,False,False,1,0,1,hi,Available
oTHRaoI9O04,True,True,False,1,0,1,bn,Available
M_Grzmyvgdw,True,True,False,1,0,1,bn,Available
Mkw3sLuZwNE,True,True,False,1,0,1,bn,Available
W1w1qJV7o1k,True,True,False,1,0,1,bn,Available
q3p6G6nLXOU,True,True,False,1,0,1,bn,Available
M93ThasXaZQ,True,True,False,1,0,1,bn,Available
BnfDYkJpJV8,True,False,True,1,0,1,en,Available
eHOGRwmZDl8,True,False,False,1,0,1,hi,Available
19Ec7YwiQb4,True,True,False,1,0,1,bn,Available
fNa0Vf8tvhY,True,False,True,1,0,1,en,Available
TnXrXA9oMS0,True,True,True,3,2,1,"bn,en,en",Available
_qjB0uDw5Wg,True,True,False,1,0,1,bn,Available
IXlGL6i5Prg,True,True,True,2,1,1,"en,bn",Available
BwfFDR1B5Lw,True,True,False,1,0,1,bn,Available
m6AwVcAPZCY,True,True,False,1,0,1,bn,Available
d2-P4ra6M_8,True,True,False,1,0,1,bn,Available
xjzesk9koE0,True,True,False,1,0,1,bn,Available
7MWrnrNRXaE,True,False,False,1,0,1,hi,Available
_yrIkrvi9Lo,True,True,False,1,0,1,bn,Available
N7MUM694RKE,True,True,False,1,0,1,bn,Available
gvFQT5yAvj4,False,False,False,0,0,0,,Disabled
MXTDfs8GmS4,True,False,True,1,0,1,en,Available
-iKjyR6VJoM,True,True,False,1,0,1,bn,Available
Ujgl8Jtjuo8,True,False,False,1,0,1,hi,Available
SPGhXONQJ-c,True,False,True,1,0,1,en,Available
C0kSXKNUM1U,True,True,False,1,0,1,bn,Available
TM12f-DoFDY,True,True,False,1,0,1,bn,Available
mALH-_LbGYg,True,True,False,1,0,1,bn,Available
9cMl0BK6zrg,True,True,False,1,0,1,bn,Available
uh1EYcX35Qc,True,True,False,1,0,1,bn,Available
GuDRKOslFr4,True,True,False,1,0,1,bn,Available
zAfzTEgVor0,True,False,True,1,0,1,en,Available
DTQ-thgsJZk,True,False,False,1,0,1,hi,Available
k81ok_geQeM,True,True,False,1,0,1,bn,Available
ONM_JyWVifI,True,False,False,1,0,1,hi,Available
eqm7Z35NKqw,True,True,False,1,0,1,bn,Available
V3hTK09OeUk,True,True,False,1,0,1,bn,Available
9FhnuqPWm1M,True,False,False,1,0,1,hi,Available
9fjCP3VIXCg,True,False,False,1,0,1,hi,Available
UxKfIYnSnX4,True,False,True,1,0,1,en,Available
KepUFaWQIJw,True,False,True,1,0,1,en,Available
iG4nPI0Vqtw,True,False,True,1,0,1,en,Available
xRrKD4GWOb4,True,False,True,1,0,1,en,Available
tP-QCrFRf20,True,False,False,1,0,1,hi,Available
t1qGk-HG1p8,True,False,False,1,0,1,hi,Available
TEkxetUzoxM,True,False,True,1,0,1,en,Available
aXE9VW7tOqw,True,False,True,1,0,1,en,Available
OalNtnkJRok,False,False,False,0,0,0,,Disabled
Wo3DKQvrJQA,True,False,False,1,0,1,hi,Available
GGfrFHPvam0,True,False,True,1,0,1,en,Available
j6CF7DAYROY,True,True,False,1,0,1,bn,Available
fC-HlXdsXBw,True,True,False,1,0,1,bn,Available
se3OPYfKO_E,True,True,False,1,0,1,bn,Available
tn7bNCHCcog,True,False,True,1,0,1,en,Available
IyztuQxLyAQ,True,False,True,1,0,1,en,Available
-PqqDg7J_mw,True,False,True,1,0,1,en,Available
NoHD74vFRrU,True,True,False,1,0,1,bn,Available
f7y611YKMEI,True,False,False,1,0,1,hi,Available
KJXDJFIb6oI,True,True,False,1,0,1,bn,Available
bW6Chde6nu0,True,True,False,1,0,1,bn,Available
m14lMRea23k,True,True,False,1,0,1,bn,Available
hkL_6-cnMlI,True,True,False,1,0,1,bn,Available
3_AF5hDYzqo,True,True,False,1,0,1,bn,Available
YyIit16We-4,True,True,False,1,0,1,bn,Available
cOpyW6J3PEY,True,False,True,1,0,1,en,Available
I48j1uXnE8U,True,True,False,1,0,1,bn,Available
f74nV31QXK4,True,False,True,1,0,1,en,Available
ENnFbxK3Umw,False,False,False,0,0,0,,Disabled
YX46Qbs1TUU,False,False,False,0,0,0,,Disabled
drJACpTjWSk,False,False,False,0,0,0,,Disabled
EKUuY_cf4Z8,False,False,False,0,0,0,,Disabled
hSH2FpEsjzU,False,False,False,0,0,0,,Disabled
QIKUgYZw9rE,False,False,False,0,0,0,,Disabled
v5vDwmLXX-U,False,False,False,0,0,0,,Disabled
XCb3SCFITiM,False,False,False,0,0,0,,Disabled
z3VUOM19GcI,True,False,True,1,0,1,en,Available
SjE1eD6jZ1w,False,False,False,0,0,0,,Disabled
-iZqeOQWQ2c,True,False,True,1,0,1,en,Available
VDN07QJ-S8k,False,False,False,0,0,0,,Disabled
-KGVrPNoNw0,True,False,True,1,0,1,en,Available
YpNA5mkjiMw,True,False,True,1,0,1,en,Available
jqbIwhn_sG8,True,False,True,1,0,1,en,Available
