video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
nAkV9oOZaz0,True,True,False,2,1,1,"bn,bn",Available
BfiNNo7CAJU,True,True,False,1,0,1,bn,Available
gSQUs_ZqLEo,True,True,False,1,0,1,bn,Available
uueOQDHw1pQ,True,True,False,1,0,1,bn,Available
DeJ4fa5CAhQ,True,True,False,1,0,1,bn,Available
8eWTF_TP4sI,True,False,True,1,0,1,en,Available
lRoj8QSD5qw,True,True,False,1,0,1,bn,Available
85QNMMnQSAs,True,True,False,1,0,1,bn,Available
fme_L6lmHiQ,True,False,True,1,0,1,en,Available
E70d6w_Q7Us,True,True,False,2,1,1,"bn,bn",Available
ivrXR1xrrdM,True,True,False,2,1,1,"bn,bn",Available
o6oaez-H12U,True,True,False,1,0,1,bn,Available
HbCkswCCdv0,True,True,False,1,0,1,bn,Available
CXse72HeG6k,True,True,False,1,0,1,bn,Available
3ymAcXz78Wk,True,True,False,1,0,1,bn,Available
AtXbnGVQURI,True,True,False,1,0,1,bn,Available
QAvou5A_KRw,True,True,False,2,1,1,"bn,bn",Available
8bIvKJgNp2Q,True,True,False,1,0,1,bn,Available
8RFPpdKdJgk,True,True,False,1,0,1,bn,Available
IwVxONoGpz0,True,True,False,1,0,1,bn,Available
HPLgIcZZdx4,True,True,False,1,0,1,bn,Available
Yp1Ni5tGv04,True,True,False,1,0,1,bn,Available
kHDkglPtT5A,False,False,False,0,0,0,,Disabled
g5S1wsUenJk,True,False,False,1,0,1,hi,Available
6CfyH_y8kBo,True,False,True,1,0,1,en,Available
aaSUxR8MI94,True,True,False,1,0,1,bn,Available
uZmKDqcw71o,True,False,False,2,1,1,"en-US,hi",Available
Dul848LMqC4,True,True,False,1,0,1,bn,Available
2EFPthpwCyc,True,False,False,1,0,1,hi,Available
IPo_F5wInu0,False,False,False,0,0,0,,Blocked
Q0IIkEDGzVo,True,False,True,1,0,1,en,Available
io8Gv1tWhk4,True,True,False,1,0,1,bn,Available
E_0MXP-Yq-Q,True,False,False,1,0,1,hi,Available
FOjSapwjrGA,True,True,False,1,0,1,bn,Available
ieTujadlovM,True,True,False,1,0,1,bn,Available
e63L8mIhV-Y,True,False,True,1,0,1,en,Available
O9C5m2HFct8,False,False,False,0,0,0,,Disabled
ZIJ3DjcYERI,True,False,False,1,0,1,hi,Available
6nUEwUTNjAc,True,False,True,1,0,1,en,Available
NFvZtFL37lc,True,True,False,1,0,1,bn,Available
MGvhDetI8A0,True,True,False,1,0,1,bn,Available
KcFqk8BJ9Eg,False,False,False,0,0,0,,Disabled
vi8ctw24jZs,True,True,False,1,0,1,bn,Available
LDUw3-PaA_Y,True,True,False,1,0,1,bn,Available
GyENBsBKqMU,True,True,False,1,0,1,bn,Available
MPEcFJA1eHY,True,True,False,1,0,1,bn,Available
1qm3eBxVRfs,True,True,False,1,0,1,bn,Available
jtdUdNlurWs,True,True,False,1,0,1,bn,Available
x0GPx6SJON4,True,True,False,1,0,1,bn,Available
NGXc7VUpgNM,True,False,True,1,0,1,en,Available
GCkgbREqsj4,False,False,False,0,0,0,,Disabled
JrBsNnNZb6c,False,False,False,0,0,0,,Disabled
k4vm4HASsJo,False,False,False,0,0,0,,Disabled
nJRW7XpJfgQ,True,False,True,1,0,1,en,Available
AZ7RUhvNnPo,True,False,True,1,0,1,en,Available
aMXgws6a0Qk,True,False,True,1,0,1,en,Available
jqZt7gs9bKI,False,False,False,0,0,0,,Disabled
MbPp03cnoh8,False,False,False,0,0,0,,Disabled
sBdofyNXv_g,False,False,False,0,0,0,,Disabled
7LAdrjlwGGo,False,False,False,0,0,0,,Disabled
