video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
nAkV9oOZaz0,True,True,False,2,1,1,"bn,bn",Available
BfiNNo7CAJU,True,True,False,1,0,1,bn,Available
gSQUs_ZqLEo,True,True,False,1,0,1,bn,Available
uueOQDHw1pQ,True,True,False,1,0,1,bn,Available
DeJ4fa5CAhQ,True,True,False,1,0,1,bn,Available
lRoj8QSD5qw,True,True,False,1,0,1,bn,Available
85QNMMnQSAs,True,True,False,1,0,1,bn,Available
E70d6w_Q7Us,True,True,False,2,1,1,"bn,bn",Available
ivrXR1xrrdM,True,True,False,2,1,1,"bn,bn",Available
o6oaez-H12U,True,True,False,1,0,1,bn,Available
HbCkswCCdv0,True,True,False,1,0,1,bn,Available
CXse72HeG6k,True,True,False,1,0,1,bn,Available
3ymAcXz78Wk,True,True,False,1,0,1,bn,Available
AtXbnGVQURI,True,True,False,1,0,1,bn,Available
QAvou5A_KRw,True,True,False,2,1,1,"bn,bn",Available
8bIvKJgNp2Q,True,True,False,1,0,1,bn,Available
8RFPpdKdJgk,True,True,False,1,0,1,bn,Available
IwVxONoGpz0,True,True,False,1,0,1,bn,Available
HPLgIcZZdx4,True,True,False,1,0,1,bn,Available
Yp1Ni5tGv04,True,True,False,1,0,1,bn,Available
aaSUxR8MI94,True,True,False,1,0,1,bn,Available
Dul848LMqC4,True,True,False,1,0,1,bn,Available
io8Gv1tWhk4,True,True,False,1,0,1,bn,Available
FOjSapwjrGA,True,True,False,1,0,1,bn,Available
ieTujadlovM,True,True,False,1,0,1,bn,Available
NFvZtFL37lc,True,True,False,1,0,1,bn,Available
MGvhDetI8A0,True,True,False,1,0,1,bn,Available
vi8ctw24jZs,True,True,False,1,0,1,bn,Available
LDUw3-PaA_Y,True,True,False,1,0,1,bn,Available
GyENBsBKqMU,True,True,False,1,0,1,bn,Available
MPEcFJA1eHY,True,True,False,1,0,1,bn,Available
1qm3eBxVRfs,True,True,False,1,0,1,bn,Available
jtdUdNlurWs,True,True,False,1,0,1,bn,Available
x0GPx6SJON4,True,True,False,1,0,1,bn,Available
n1e0-BM_V1A,True,True,False,1,0,1,bn,Available
BIxL_VThMNk,True,True,False,1,1,0,bn,Available
b3c9sv1RgBw,True,True,False,1,0,1,bn,Available
0wSK29V0oGc,True,True,False,1,0,1,bn,Available
SSweEUIQvZ8,True,True,False,1,0,1,bn,Available
d7ENdhOUhF0,True,True,False,1,0,1,bn,Available
_1YCMScOwJs,True,True,False,1,0,1,bn,Available
slpsWgb_tEI,True,True,False,1,0,1,bn,Available
h-XC_khPUvg,True,True,False,1,0,1,bn,Available
350p9S3kuI0,True,True,False,1,0,1,bn,Available
zS5CIJdIZSw,True,True,False,1,0,1,bn,Available
u0H_9QAHrgk,True,True,False,1,0,1,bn,Available
kvH8pkQbnbM,True,True,False,1,0,1,bn,Available
UZ90ibm_PIQ,True,True,False,1,0,1,bn,Available
rvhB0doL2OY,True,True,False,1,0,1,bn,Available
7pR6g8SgvR0,True,True,False,1,0,1,bn,Available
QcI39mfmCBU,True,True,False,1,0,1,bn,Available
wOJWTpzUM4A,True,True,False,1,0,1,bn,Available
x-SllxA6RJc,True,True,False,1,0,1,bn,Available
lMgzBP9M748,True,True,False,1,0,1,bn,Available
4u7UUN3nxyg,True,True,False,1,0,1,bn,Available
FyLYcCMfztI,True,True,False,1,0,1,bn,Available
UEZb79SvQt8,True,True,False,1,0,1,bn,Available
hGFG9nhAS1U,True,True,False,1,0,1,bn,Available
6OXF5WV-kIo,True,True,False,1,0,1,bn,Available
4SL15v9o_pM,True,True,False,1,0,1,bn,Available
