video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
kHDkglPtT5A,False,False,False,0,0,0,,Disabled
IPo_F5wInu0,False,False,False,0,0,0,,Blocked
O9C5m2HFct8,False,False,False,0,0,0,,Disabled
KcFqk8BJ9Eg,False,False,False,0,0,0,,Disabled
GCkgbREqsj4,False,False,False,0,0,0,,Disabled
JrBsNnNZb6c,False,False,False,0,0,0,,Disabled
k4vm4HASsJo,False,False,False,0,0,0,,Disabled
jqZt7gs9bKI,False,False,False,0,0,0,,Disabled
MbPp03cnoh8,False,False,False,0,0,0,,Disabled
sBdofyNXv_g,False,False,False,0,0,0,,Disabled
7LAdrjlwGGo,False,False,False,0,0,0,,Disabled
wqWKbAySIJE,False,False,False,0,0,0,,Disabled
Pcv3g5Hnuag,False,False,False,0,0,0,,Disabled
soDDF_ZFwlQ,False,False,False,0,0,0,,Disabled
i6wPbkdCe_c,False,False,False,0,0,0,,Disabled
_2HjOdBQWJ0,False,False,False,0,0,0,,Disabled
9iQY_Pjfdm8,False,False,False,0,0,0,,Blocked
ovk1FQTxc-c,False,False,False,0,0,0,,Blocked
F_Cz9nESZh0,False,False,False,0,0,0,,Disabled
gvFQT5yAvj4,False,False,False,0,0,0,,Disabled
OalNtnkJRok,False,False,False,0,0,0,,Disabled
ENnFbxK3Umw,False,False,False,0,0,0,,Disabled
YX46Qbs1TUU,False,False,False,0,0,0,,Disabled
drJACpTjWSk,False,False,False,0,0,0,,Disabled
EKUuY_cf4Z8,False,False,False,0,0,0,,Disabled
hSH2FpEsjzU,False,False,False,0,0,0,,Disabled
QIKUgYZw9rE,False,False,False,0,0,0,,Disabled
v5vDwmLXX-U,False,False,False,0,0,0,,Disabled
XCb3SCFITiM,False,False,False,0,0,0,,Disabled
SjE1eD6jZ1w,False,False,False,0,0,0,,Disabled
VDN07QJ-S8k,False,False,False,0,0,0,,Disabled
8hSCwAKrovA,False,False,False,0,0,0,,Disabled
muTaJjSji9s,False,False,False,0,0,0,,Disabled
X2ZtP1rfCoY,False,False,False,0,0,0,,Disabled
iYz-M3vhz10,False,False,False,0,0,0,,Disabled
bCLp8sAXsAA,False,False,False,0,0,0,,Disabled
sPpeIpRDMHA,False,False,False,0,0,0,,Disabled
OgVpn3_jBN0,False,False,False,0,0,0,,Disabled
gYMGsXA51Ms,False,False,False,0,0,0,,Disabled
PLDM7gwPjjg,False,False,False,0,0,0,,Disabled
OocqG7u1r6U,False,False,False,0,0,0,,Disabled
VnyOEJRgxzQ,False,False,False,0,0,0,,Blocked
UD81qgmqSeU,False,False,False,0,0,0,,Disabled
AjUbII4MoJk,False,False,False,0,0,0,,Disabled
Gu6BP5pihDc,False,False,False,0,0,0,,Disabled
qYZRhviWDc8,False,False,False,0,0,0,,Blocked
7MNj5b0LwdU,False,False,False,0,0,0,,Disabled
7w360-1nmkU,False,False,False,0,0,0,,Disabled
RkVQcW9sKnA,False,False,False,0,0,0,,Disabled
qfYhgsMs7K8,False,False,False,0,0,0,,Disabled
UDNxIW_mbBU,False,False,False,0,0,0,,Disabled
KBlDv-QGKuU,False,False,False,0,0,0,,Disabled
PfMVKbecSQs,False,False,False,0,0,0,,Blocked
cqPngZN8Ua4,False,False,False,0,0,0,,Disabled
nX6Sw0bzV10,False,False,False,0,0,0,,Disabled
OzFvld0s-OI,False,False,False,0,0,0,,Disabled
FahWLpQPQL8,False,False,False,0,0,0,,Disabled
7p2alvbmBA4,False,False,False,0,0,0,,Disabled
p1td2XPWCgI,False,False,False,0,0,0,,Disabled
jXs4SiDDDv4,False,False,False,0,0,0,,Disabled
cIbKHeqPw4s,False,False,False,0,0,0,,Disabled
