video_id,has_transcript,has_bangla,has_english,total_languages,manual_count,auto_count,languages,status
wLR0crYMXUk,True,True,False,1,0,1,bn,Available
kezGvnt2tlk,True,True,False,1,0,1,bn,Available
BRaTjnoRpdg,True,True,False,1,0,1,bn,Available
PcQZTx-waB4,True,True,False,1,0,1,bn,Available
hY90r2kiAkE,True,True,False,1,0,1,bn,Available
MFH3wO6n-Sk,True,True,False,1,0,1,bn,Available
8c7IdHtZt_g,True,True,False,1,0,1,bn,Available
X020uvCGuN8,True,True,False,1,1,0,bn,Available
7eEUCYhFxeo,True,True,False,1,0,1,bn,Available
XMMOUauKsRg,True,True,False,1,0,1,bn,Available
Rl79l4USkdM,True,True,False,1,0,1,bn,Available
UihWQKs9BCw,True,True,False,1,0,1,bn,Available
Hd8FOJ3CeRA,True,True,False,1,0,1,bn,Available
1jIWH-IqBoU,True,True,False,1,0,1,bn,Available
pJuHCyI1bHg,True,True,False,1,0,1,bn,Available
Fz2wlDBKVN0,True,True,False,1,0,1,bn,Available
fY7VFSYJt-A,True,True,False,1,0,1,bn,Available
HmmBMAih_o8,True,True,False,1,0,1,bn,Available
vqYqU4xaps0,True,True,False,1,0,1,bn,Available
-Qxp7KVTMpg,True,True,False,1,0,1,bn,Available
zufNXsMP7rc,True,True,False,1,0,1,bn,Available
8UJsT1XAY4I,True,True,False,1,0,1,bn,Available
DAdUVv-wzrc,True,True,False,1,0,1,bn,Available
xEzHBzMm9zM,True,True,False,1,0,1,bn,Available
hl7vp0X_f3I,True,True,False,1,0,1,bn,Available
ZbAiQy5vnWw,True,True,False,1,1,0,bn,Available
ZISVKqS3-LQ,True,True,False,1,0,1,bn,Available
h8DKGQdhG3U,True,True,False,1,0,1,bn,Available
WhKde9R9br8,True,True,False,1,0,1,bn,Available
anIFMdQ0UF0,True,True,False,1,0,1,bn,Available
UXsmfW7dv6I,True,True,False,1,0,1,bn,Available
H0WfIG4T_SQ,True,True,False,1,0,1,bn,Available
xCA1mQtzCI0,True,True,False,1,0,1,bn,Available
4w7KLPZXEQg,True,True,False,1,0,1,bn,Available
DUEAfs1B_iM,True,True,False,1,0,1,bn,Available
ztBhboHpJko,True,True,False,1,0,1,bn,Available
