channel_id,video_id,channel_name,duration(sec),domain,link,,,
UCBz9qbqujcjIavFmBJW2oZw,nAkV9oOZaz0,Sony AATH,2578,cartoon,https://www.youtube.com/watch?v=nAkV9oOZaz0,,,
UCiCnPY--pbn5S8JkJdV2PbQ,BfiNNo7CAJU,Bengali Movies- Angel Digital,9156,movie,https://www.youtube.com/watch?v=BfiNNo7CAJU,,,
UCSOBzuyWsqw6IxRGvhOd56g,gSQUs_ZqLEo,Asha Audio,3645,poem,https://www.youtube.com/watch?v=gSQUs_ZqLEo,,,
UC2APUcOvbVDswBXtsLJFOdw,uueOQDHw1pQ,ISLAM BORNA,3101,waz,https://youtu.be/uueOQDHw1pQ?si=wFDyJFOqijs74BBl,,,684.9805556
UC3wfNI_ZipV1Nihswf540oA,DeJ4fa5CAhQ,Capital Drama,5801,drama,https://www.youtube.com/watch?v=DeJ4fa5CAhQ,,,
UCVlUfN0sAILHcqgtWSxEPRg,8eWTF_TP4sI,Deepto Natok,4794,web series,https://www.youtube.com/watch?v=8eWTF_TP4sI,,,
UCR0qyv3paMYTGGxuK20ypJg,lRoj8QSD5qw,Durbeen TV,3136,drama,https://www.youtube.com/watch?v=lRoj8QSD5qw,,,
UC9nuJbEL-AMJLLqc2-ej8xQ,85QNMMnQSAs,Bongo,2620,drama,https://www.youtube.com/watch?v=85QNMMnQSAs,,,
UCqle5cwtPckB2N8sSQoynwg,fme_L6lmHiQ,Global TV Online,2472,drama,https://www.youtube.com/watch?v=fme_L6lmHiQ,,,
UCfxcQjjV4Ha0tTjBtsSAm-A,E70d6w_Q7Us,BookBuzz,2126,audiobook,https://youtu.be/E70d6w_Q7Us?si=ekVTJ_CaNALOWDt1,,,
UCHdKsVKYS3OmPuDvOJ6iI_Q,ivrXR1xrrdM,Audifeel,2025,audiobook,https://youtu.be/ivrXR1xrrdM?si=KtqycBehVlm3G4Ju,,,
UCkVA5o9E8er2kY5sm8ZJ9cw,o6oaez-H12U,BiggB Entertainment,2673,drama,https://www.youtube.com/watch?v=o6oaez-H12U,,,
UCuiU10bNF_mu4_YnK93e1kg,HbCkswCCdv0,Guddi Studio,3219,drama,https://www.youtube.com/watch?v=HbCkswCCdv0,,,
UCkVA5o9E8er2kY5sm8ZJ9cw,o6oaez-H12U,BiggB Entertainment,2673,drama,https://www.youtube.com/watch?v=o6oaez-H12U,,,
UCsCZzTEv38j8OcZaQp-y5DQ,CXse72HeG6k,GTV Drama,3091,drama,https://www.youtube.com/watch?v=CXse72HeG6k,,,
UC3wfNI_ZipV1Nihswf540oA,3ymAcXz78Wk,Capital Drama,5309,drama,https://www.youtube.com/watch?v=3ymAcXz78Wk,,,
UC3wfNI_ZipV1Nihswf540oA,AtXbnGVQURI,Capital Drama,4276,drama,https://www.youtube.com/watch?v=AtXbnGVQURI,,,
UC9jsDC5iXnPBrRXAIGmbIQQ,QAvou5A_KRw,Club 11 Entertainment,4019,drama,https://www.youtube.com/watch?v=QAvou5A_KRw,,,
UC3wfNI_ZipV1Nihswf540oA,8bIvKJgNp2Q,Capital Drama,4000,drama,https://www.youtube.com/watch?v=8bIvKJgNp2Q,,,
UC3wfNI_ZipV1Nihswf540oA,8RFPpdKdJgk,Capital Drama,3707,drama,https://www.youtube.com/watch?v=8RFPpdKdJgk,,,
UC3wfNI_ZipV1Nihswf540oA,IwVxONoGpz0,Capital Drama,3679,drama,https://www.youtube.com/watch?v=IwVxONoGpz0,,,
UC3wfNI_ZipV1Nihswf540oA,HPLgIcZZdx4,Capital Drama,5010,drama,https://www.youtube.com/watch?v=HPLgIcZZdx4,,,
UCsjSRfeVFmJcps2Bki1dRCw,Yp1Ni5tGv04,NTV Natok,2709,drama,https://www.youtube.com/watch?v=Yp1Ni5tGv04,,,
UCzUpRdOwrILcg6c6dKxPr0g,kHDkglPtT5A,CINEMAWALA,7463,movie,https://www.youtube.com/watch?v=kHDkglPtT5A,,,
UC946f-5n5X3Ylg7R5PuaUxg,g5S1wsUenJk,Binge,7186,web series,https://www.youtube.com/watch?v=g5S1wsUenJk,,,
UC946f-5n5X3Ylg7R5PuaUxg,6CfyH_y8kBo,Binge,10157,web series,https://www.youtube.com/watch?v=6CfyH_y8kBo,,,
UC946f-5n5X3Ylg7R5PuaUxg,aaSUxR8MI94,Binge,11429,web series,https://www.youtube.com/watch?v=aaSUxR8MI94,,,
UCsvBbEFpCTH23C4n_I2lx0A,uZmKDqcw71o,Channel i Prime,3655,drama,https://www.youtube.com/watch?v=uZmKDqcw71o,,,
UCsCVsu1LB4vl2b2RB7OM_ww,Dul848LMqC4,S ♡ Lifestyle ꙳,8355,movie,https://www.youtube.com/watch?v=Dul848LMqC4,,,
UCF4j3PhvOrs8eKyyzWA_fuw,2EFPthpwCyc,Zee Movies Bangla,5867,movie,https://www.youtube.com/watch?v=2EFPthpwCyc,,,
UCSmBiSVSBD3I4Eq7hHOQjrQ,IPo_F5wInu0,Channel i Movies,6057,movie,https://www.youtube.com/watch?v=IPo_F5wInu0,,,
UC2w7PA1YGcfXKbiH5RRnsFw,Q0IIkEDGzVo,Bongo Cinema,9310,movie,https://www.youtube.com/watch?v=Q0IIkEDGzVo,,,
UC2w7PA1YGcfXKbiH5RRnsFw,io8Gv1tWhk4,Bongo Cinema,7542,movie,https://www.youtube.com/watch?v=io8Gv1tWhk4,,,
UCetlSgFKkae_nsC3fmfC1ig,E_0MXP-Yq-Q,SIS Media,8271,movie,https://www.youtube.com/watch?v=E_0MXP-Yq-Q,,,
UCqk3_x2FUhPHXU51wiR1IsA,FOjSapwjrGA,G Series Bangla Movies,9450,movie,https://www.youtube.com/watch?v=FOjSapwjrGA,,,
UCza5m5lU6rquLOEMAl1h95g,ieTujadlovM,Live Tech,7622,movie,https://www.youtube.com/watch?v=ieTujadlovM,,,
UCZxu0dMOx9JpYsWkyDwunAQ,e63L8mIhV-Y,Eskay Movies,266,movie,https://www.youtube.com/watch?v=e63L8mIhV-Y,,,
UCetlSgFKkae_nsC3fmfC1ig,O9C5m2HFct8,SIS Media,8942,movie,https://www.youtube.com/watch?v=O9C5m2HFct8,,,
UCpNi3ip_fJY3vLVdqWbTzzA,ZIJ3DjcYERI,Laser Vision,9168,movie,https://www.youtube.com/watch?v=ZIJ3DjcYERI,,,
UCvoC1eVphUAe7a0m-uuoPbg,6nUEwUTNjAc,Bongo Movies,8822,movie,https://www.youtube.com/watch?v=6nUEwUTNjAc,,,
UCAz6rveBalVnE6qTmfQnvyQ,NFvZtFL37lc,Channel i Tv,7341,movie,https://www.youtube.com/watch?v=NFvZtFL37lc,,,
UCX4YkxiMW7K5Ev8UEOk-Rvg,MGvhDetI8A0,KHK Productions,10106,movie,https://www.youtube.com/watch?v=MGvhDetI8A0,,,
UCxivRY5HnBw5DUvmKiAB_zA,KcFqk8BJ9Eg,FAHIM MUSIC,5258,movie,https://www.youtube.com/watch?v=KcFqk8BJ9Eg,,,
UCwky5TX2CX0lxErXFwWiSvQ,vi8ctw24jZs,Abdullah Tv24,3578,waz,https://www.youtube.com/watch?v=vi8ctw24jZs,,,
UCmzT7IffenKCFiqcJkyU7oQ,LDUw3-PaA_Y,Rose Tv24,4333,waz,https://www.youtube.com/watch?v=LDUw3-PaA_Y,,,
UCWAt4ZztpagoUNCAVXMgfHg,GyENBsBKqMU,Islamer Rasta,4842,waz,https://www.youtube.com/watch?v=GyENBsBKqMU,,,
UCL9uttyCcuVh5RiQHz55ibQ,MPEcFJA1eHY,Islamic Waz Corner,6456,waz,https://www.youtube.com/watch?v=MPEcFJA1eHY,,,
UCrD0UteIcP4J1nzv-6DkVuw,1qm3eBxVRfs,R S MEDIA,6946,waz,https://www.youtube.com/watch?v=1qm3eBxVRfs,,,
