video_id,channel_id,channel_name,duration_sec,category,video_url,,,,
QMeV-Wn2JLM,UCIjLRyywnG8olYXAEVYGYgQ,CMV,410,Natok / TV Drama,https://www.youtube.com/watch?v=QMeV-Wn2JLM,,,,
8EMmbtz_GCE,UCIjLRyywnG8olYXAEVYGYgQ,CMV,148,Natok / TV Drama,https://www.youtube.com/watch?v=8EMmbtz_GCE,,,,518.126384
MCQSe4rzyKo,UCIjLRyywnG8olYXAEVYGYgQ,CMV,205,Natok / TV Drama,https://www.youtube.com/watch?v=MCQSe4rzyKo,,,,
zQ-hYshFnDk,UCIjLRyywnG8olYXAEVYGYgQ,CMV,280,Natok / TV Drama,https://www.youtube.com/watch?v=zQ-hYshFnDk,,,,
K5wF76kJIs8,UCIjLRyywnG8olYXAEVYGYgQ,CMV,267,Natok / TV Drama,https://www.youtube.com/watch?v=K5wF76kJIs8,,,,
x43KhfI_32M,UCqk3_x2FUhPHXU51wiR1IsA,G Series,195,Movies / Drama,https://www.youtube.com/watch?v=x43KhfI_32M,,,,
wLR0crYMXUk,UCqk3_x2FUhPHXU51wiR1IsA,G Series,560,Movies / Drama,https://www.youtube.com/watch?v=wLR0crYMXUk,,,,
oE5qEi2TdjE,UCqk3_x2FUhPHXU51wiR1IsA,G Series,524,Movies / Drama,https://www.youtube.com/watch?v=oE5qEi2TdjE,,,,
r5svEfiAIBw,UCqk3_x2FUhPHXU51wiR1IsA,G Series,789,Movies / Drama,https://www.youtube.com/watch?v=r5svEfiAIBw,,,,
oZyQYRAiubU,UCqk3_x2FUhPHXU51wiR1IsA,G Series,206,Movies / Drama,https://www.youtube.com/watch?v=oZyQYRAiubU,,,,
iAVL08K_YP0,UCsr6QVeLlkitleHoS0T4IxQ,Banglavision Drama,6810,TV Drama,https://www.youtube.com/watch?v=iAVL08K_YP0,,,,
UjoHSueur8A,UCsr6QVeLlkitleHoS0T4IxQ,Banglavision Drama,2327,TV Drama,https://www.youtube.com/watch?v=UjoHSueur8A,,,,
dDtB5E1LrMk,UCsr6QVeLlkitleHoS0T4IxQ,Banglavision Drama,1941,TV Drama,https://www.youtube.com/watch?v=dDtB5E1LrMk,,,,
a_9vmHplkZs,UCsr6QVeLlkitleHoS0T4IxQ,Banglavision Drama,2591,TV Drama,https://www.youtube.com/watch?v=a_9vmHplkZs,,,,
FYEOGPI4wHs,UCsr6QVeLlkitleHoS0T4IxQ,Banglavision Drama,6499,TV Drama,https://www.youtube.com/watch?v=FYEOGPI4wHs,,,,
gYurDVZ2vrs,UC2PvBto6gvSLVub6CdwaivA,RTV Drama,151,TV & Stage Drama,https://www.youtube.com/watch?v=gYurDVZ2vrs,,,,
8OBeuRQcuTk,UC2PvBto6gvSLVub6CdwaivA,RTV Drama,73,TV & Stage Drama,https://www.youtube.com/watch?v=8OBeuRQcuTk,,,,
avqRM2mT-fo,UC2PvBto6gvSLVub6CdwaivA,RTV Drama,94,TV & Stage Drama,https://www.youtube.com/watch?v=avqRM2mT-fo,,,,
M6r92NGmuXQ,UC2PvBto6gvSLVub6CdwaivA,RTV Drama,130,TV & Stage Drama,https://www.youtube.com/watch?v=M6r92NGmuXQ,,,,
CSm19m63Sw0,UC2PvBto6gvSLVub6CdwaivA,RTV Drama,197,TV & Stage Drama,https://www.youtube.com/watch?v=CSm19m63Sw0,,,,
8neUGzr2_4Q,UCsjSRfeVFmJcps2Bki1dRCw,NTV Drama,1250,Natok,https://www.youtube.com/watch?v=8neUGzr2_4Q,,,,
kezGvnt2tlk,UCsjSRfeVFmJcps2Bki1dRCw,NTV Drama,1307,Natok,https://www.youtube.com/watch?v=kezGvnt2tlk,,,,
BRaTjnoRpdg,UCsjSRfeVFmJcps2Bki1dRCw,NTV Drama,1265,Natok,https://www.youtube.com/watch?v=BRaTjnoRpdg,,,,
PcQZTx-waB4,UCsjSRfeVFmJcps2Bki1dRCw,NTV Drama,2692,Natok,https://www.youtube.com/watch?v=PcQZTx-waB4,,,,
hY90r2kiAkE,UCsjSRfeVFmJcps2Bki1dRCw,NTV Drama,1284,Natok,https://www.youtube.com/watch?v=hY90r2kiAkE,,,,
NmrCXkrLFKw,UCC9XrC1En2tX8ASBRw-BAlg,Drama Factory,2003,TV Natok,https://www.youtube.com/watch?v=NmrCXkrLFKw,,,,
g_NdQ7siFWI,UCIO1zDtxhFjtXhQGuKafUmg,CD Choice,256,Drama & Music,https://www.youtube.com/watch?v=g_NdQ7siFWI,,,,
GI80cEx1bbA,UCIO1zDtxhFjtXhQGuKafUmg,CD Choice,222,Drama & Music,https://www.youtube.com/watch?v=GI80cEx1bbA,,,,
44iopV0-ZvM,UCIO1zDtxhFjtXhQGuKafUmg,CD Choice,162,Drama & Music,https://www.youtube.com/watch?v=44iopV0-ZvM,,,,
nrP_J8b-6wI,UCIO1zDtxhFjtXhQGuKafUmg,CD Choice,427,Drama & Music,https://www.youtube.com/watch?v=nrP_J8b-6wI,,,,
h_eCxhvNy4s,UCIO1zDtxhFjtXhQGuKafUmg,CD Choice,92,Drama & Music,https://www.youtube.com/watch?v=h_eCxhvNy4s,,,,
52sLIfgx2YY,UCpNi3ip_fJY3vLVdqWbTzzA,Laser Vision,314,Movies / Drama,https://www.youtube.com/watch?v=52sLIfgx2YY,,,,
b7O6X48s0Sw,UCpNi3ip_fJY3vLVdqWbTzzA,Laser Vision,242,Movies / Drama,https://www.youtube.com/watch?v=b7O6X48s0Sw,,,,
QBOcJaXKACE,UCpNi3ip_fJY3vLVdqWbTzzA,Laser Vision,246,Movies / Drama,https://www.youtube.com/watch?v=QBOcJaXKACE,,,,
8zhKtU4l8iI,UCpNi3ip_fJY3vLVdqWbTzzA,Laser Vision,179,Movies / Drama,https://www.youtube.com/watch?v=8zhKtU4l8iI,,,,
juOm-ib1Q-Q,UCpNi3ip_fJY3vLVdqWbTzzA,Laser Vision,271,Movies / Drama,https://www.youtube.com/watch?v=juOm-ib1Q-Q,,,,
czp_M-g2uRo,UCqle5cwtPckB2N8sSQoynwg,Natok Online,693,Web Natok,https://www.youtube.com/watch?v=czp_M-g2uRo,,,,
1xQ50vlMRCM,UCqle5cwtPckB2N8sSQoynwg,Natok Online,222,Web Natok,https://www.youtube.com/watch?v=1xQ50vlMRCM,,,,
ZM6nq4W0VaA,UCqle5cwtPckB2N8sSQoynwg,Natok Online,169,Web Natok,https://www.youtube.com/watch?v=ZM6nq4W0VaA,,,,
zNwjkKs7s90,UC4qEoWs2pzfmqoLbDyqFKew,Bangla Funny Natok,1485,Comedy Natok,https://www.youtube.com/watch?v=zNwjkKs7s90,,,,
-NCZULrIgMw,UC4qEoWs2pzfmqoLbDyqFKew,Bangla Funny Natok,435,Comedy Natok,https://www.youtube.com/watch?v=-NCZULrIgMw,,,,
TaC3xKIIpFI,UC4qEoWs2pzfmqoLbDyqFKew,Bangla Funny Natok,696,Comedy Natok,https://www.youtube.com/watch?v=TaC3xKIIpFI,,,,
J9Gxvf2xWkc,UC4qEoWs2pzfmqoLbDyqFKew,Bangla Funny Natok,357,Comedy Natok,https://www.youtube.com/watch?v=J9Gxvf2xWkc,,,,
hc4juCdnsTg,UC4qEoWs2pzfmqoLbDyqFKew,Bangla Funny Natok,772,Comedy Natok,https://www.youtube.com/watch?v=hc4juCdnsTg,,,,
2xYZtS8tpxI,UC0tJllKC3o1Evsa5o-BLRtA,Mosharraf Karim,164,Natok / Acting Content,https://www.youtube.com/watch?v=2xYZtS8tpxI,,,,
LED8GRCYXA4,UC0tJllKC3o1Evsa5o-BLRtA,Mosharraf Karim,1027,Natok / Acting Content,https://www.youtube.com/watch?v=LED8GRCYXA4,,,,
B3bsWLfS24k,UC0tJllKC3o1Evsa5o-BLRtA,Mosharraf Karim,306,Natok / Acting Content,https://www.youtube.com/watch?v=B3bsWLfS24k,,,,
RRNmyj6cocQ,UC0tJllKC3o1Evsa5o-BLRtA,Mosharraf Karim,4592,Natok / Acting Content,https://www.youtube.com/watch?v=RRNmyj6cocQ,,,,
e1MrUUkcXxk,UC0tJllKC3o1Evsa5o-BLRtA,Mosharraf Karim,2442,Natok / Acting Content,https://www.youtube.com/watch?v=e1MrUUkcXxk,,,,
5TZRJQ-Ipbs,UCpvVcqsap0KnJ6epuH5V6cw,Prottoy Heron,753,Comedy / Acting,https://www.youtube.com/watch?v=5TZRJQ-Ipbs,,,,
ePUhFy7t38k,UCpvVcqsap0KnJ6epuH5V6cw,Prottoy Heron,144,Comedy / Acting,https://www.youtube.com/watch?v=ePUhFy7t38k,,,,
f2ByySJMBmY,UCpvVcqsap0KnJ6epuH5V6cw,Prottoy Heron,162,Comedy / Acting,https://www.youtube.com/watch?v=f2ByySJMBmY,,,,
kp8arxOQjcU,UCpvVcqsap0KnJ6epuH5V6cw,Prottoy Heron,137,Comedy / Acting,https://www.youtube.com/watch?v=kp8arxOQjcU,,,,
GYOW4aJ55Jk,UCpvVcqsap0KnJ6epuH5V6cw,Prottoy Heron,282,Comedy / Acting,https://www.youtube.com/watch?v=GYOW4aJ55Jk,,,,
MFH3wO6n-Sk,UCLogQ58uhXNBf2qnXVr5t6Q,Tawsif Mahbub,1796,Natok / Acting Content,https://www.youtube.com/watch?v=MFH3wO6n-Sk,,,,
8c7IdHtZt_g,UCh2a1Cd6nKoNkKg2rEgDdpw,Tahsan Khan,228,Music & Talk,https://www.youtube.com/watch?v=8c7IdHtZt_g,,,,
ZY3so388CaE,UCh2a1Cd6nKoNkKg2rEgDdpw,Tahsan Khan,361,Music & Talk,https://www.youtube.com/watch?v=ZY3so388CaE,,,,
BwY9Q_jUZts,UCh2a1Cd6nKoNkKg2rEgDdpw,Tahsan Khan,331,Music & Talk,https://www.youtube.com/watch?v=BwY9Q_jUZts,,,,
